17	601992	金隅集团	4.08	-3.77	-0.16	45.9万	25	4.07	4.08	4.23	-22.84	0.56	1.90亿	0.00	4.23	 水泥建材	4.23	4.04	4.23	4.24	4.48	1.57	25.23	8843	4.13	32.6万	13.3万	2.45	1804	833	1.07	107亿	436亿	81.5亿		332亿		-3.32		-3.09		1.16		2.36		
18	600998	九州通	18.67	-3.76	-0.73	8.37万	6	18.69	18.70	19.55	-0.95	0.50	1.60亿	0.92	19.55	 医药制造	19.80	18.43	19.55	19.40	7.06	1.51	-71.72	-355	19.12	5.17万	3.20万	1.62	22	155	2.44	18.8亿	351亿	16.6亿		310亿		-1.99		1.30		1.08		2.17		
19	000963	华东医药	74.10	-3.74	-2.88	13.6万	1732	74.08	74.10	76.70	27.13	1.56	10.6亿	0.00	76.70	 医药制造	80.59	74.01	76.70	76.98	8.55	2.36	-81.25	-1286	77.87	7.85万	5.73万	1.37	25	1083	7.96	9.72亿	720亿	8.68亿		643亿		-0.03		-0.07		3.11		4.89		
20	002714	牧原股份	52.47	-3.67	-2.00	5.69万	262	52.47	52.48	54.26	-9.65	0.95	3.01亿	0.00	54.26	 农牧饲渔	54.26	52.03	54.26	54.47	4.09	1.19	49.13	118	52.78	3.19万	2.50万	1.27	51	38	5.84	11.6亿	608亿	6.00亿		315亿		-2.98		3.57		2.23		4.95		
21	600809	山西汾酒	59.77	-3.41	-2.11	6.36万	5	59.77	59.78	61.99	-6.67	0.74	3.92亿	0.08	61.99	 酿酒行业	63.15	59.63	61.99	61.88	5.69	1.33	-71.10	-438	61.57	3.62万	2.74万	1.32	35	13	8.70	8.66亿	518亿	8.66亿		518亿		2.54		0.61		2.19		3.49		
22	000002	万 科Ａ	25.60	-3.40	-0.90	55.6万	8203	25.60	25.61	26.30	-8.56	0.57	14.3亿	0.00	26.30	 房地产	26.37	25.34	26.30	26.50	3.89	1.72	-73.51	-4337	25.69	30.5万	25.1万	1.22	237	1502	2.08	110亿	2826亿	97.2亿		2487亿		-3.94		-5.43		1.11		2.23		
23	600438	通威股份	11.03	-3.25	-0.37	28.6万	30	11.04	11.05	11.38	-2.73	1.03	3.18亿	0.18	11.38	 农牧饲渔	11.49	10.88	11.38	11.40	5.35	0.99	74.67	1739	11.15	18.1万	10.4万	1.74	14	45	3.29	38.8亿	428亿	27.8亿		307亿		-5.16		-6.68		3.25		6.21		
24	000999	华润三九	27.87	-3.23	-0.93	11.4万	1891	27.87	27.88	28.65	-5.15	1.16	3.28亿	-0.07	28.65	 医药制造	29.62	27.86	28.65	28.80	6.11	1.62	17.62	178	28.83	6.51万	4.88万	1.34	505	351	2.66	9.79亿	273亿	9.78亿		273亿		-3.50		-2.72		2.85		4.75		
25	600010	包钢股份	1.76	-2.76	-0.05	304万	11	1.75	1.76	1.74	-15.45	0.96	5.28亿	0.57	1.74	 钢铁行业	1.79	1.67	1.74	1.81	6.63	1.93	7.35	1.74万	1.73	145万	159万	0.91	1.00万	1.74万	1.61	456亿	802亿	317亿		558亿		-12.44		-14.56		2.83		3.45		
26	002024	苏宁易购	14.98	-2.73	-0.42	97.3万	1.53万	14.98	14.99	15.45	5.61	1.93	14.8亿	0.27	15.45	 商业百货	15.55	14.93	15.45	15.40	4.03	0.88	69.65	2.65万	15.24	56.0万	41.3万	1.36	7232	555	1.77	93.1亿	1395亿	50.5亿		756亿		2.25		7.85		7.79		12.93		
27	002465	海格通信	9.72	-2.70	-0.27	26.0万	2889	9.72	9.73	10.01	14.08	1.38	2.56亿	0.00	10.01	 通讯行业	10.09	9.68	10.01	9.99	4.10	1.47	9.76	706	9.84	17.0万	9.05万	1.88	891	154	2.81	23.1亿	224亿	18.9亿		184亿		-6.45		-6.63		3.12		6.06		
28	600637	东方明珠	18.01	-2.70	-0.50	11.4万	10	18.04	18.05	18.52	0.96	0.46	2.07亿	0.00	18.52	 文化传媒	18.55	17.97	18.52	18.51	3.13	1.15	27.97	313	18.15	7.59万	3.83万	1.99	15	48	1.70	26.4亿	476亿	24.9亿		448亿		-3.95		-3.95		1.30		2.45		
29	002146	荣盛发展	9.31	-2.62	-0.25	41.8万	1795	9.30	9.31	9.58	7.24	1.07	3.90亿	0.00	9.58	 房地产	9.58	9.19	9.58	9.56	4.08	1.36	27.43	2963	9.34	27.3万	14.5万	1.88	1052	497	1.44	43.5亿	405亿	38.9亿		362亿		-4.41		-11.16		2.12		5.04		
