17	600398	海澜之家	13.62	1.72	0.23	10.4万	59	13.62	13.63	13.39	22.58	0.23	1.41亿	-0.07	13.39	 纺织服装	13.69	13.32	13.39	13.39	2.76	2.04	17.55	663	13.57	4.95万	5.42万	0.91	235	180	4.97	44.9亿	612亿	44.9亿		612亿		5.58		1.64		1.12		2.46		
18	002304	洋河股份	138.70	1.72	2.35	2.77万	30	138.70	138.73	134.67	-2.47	0.22	3.86亿	-0.12	134.67	 酿酒行业	142.19	134.67	134.67	136.35	5.52	2.98	89.57	378	139.61	1.37万	1.40万	0.98	193	8	6.34	15.1亿	2090亿	12.4亿		1723亿		10.08		7.52		1.08		1.69		
19	002594	比亚迪	53.66	1.67	0.88	2.31万	2	53.65	53.66	52.53	-18.59	0.20	1.23亿	-0.17	52.53	 汽车行业	53.79	52.42	52.53	52.78	2.60	1.54	-57.28	-118	53.21	8773	1.43万	0.61	8	3	2.86	27.3亿	1464亿	11.4亿		611亿		-0.90		-1.61		1.18		2.80		
20	600011	华能国际	6.80	1.49	0.10	3.85万	1001	6.79	6.80	6.69	1.46	0.04	2601万	0.00	6.69	 电力行业	6.80	6.68	6.69	6.70	1.79	0.52	8.29	553	6.76	1.88万	1.97万	0.95	1311	748	1.48	152亿	1034亿	105亿		714亿		-1.16		4.62		0.46		1.43		
21	600373	中文传媒	15.77	1.41	0.22	3.36万	69	15.75	15.76	15.57	-15.89	0.24	5323万	0.06	15.57	 文化传媒	15.95	15.55	15.57	15.55	2.57	1.67	52.66	1027	15.84	1.49万	1.87万	0.80	210	2	1.80	13.8亿	217亿	13.8亿		217亿		1.28		4.09		1.14		3.12		
22	601225	陕西煤业	8.08	1.38	0.11	38.3万	4	8.08	8.09	8.09	-1.96	0.38	3.11亿	0.12	8.09	 煤炭采选	8.17	8.07	8.09	7.97	1.25	1.84	-17.18	-3653	8.12	19.7万	18.6万	1.06	489	2545	1.70	100亿	808亿	100亿		808亿		0.50		-7.45		1.28		4.47		
23	601727	上海电气	6.15	1.32	0.08	3.93万	10	6.14	6.15	6.04	-14.20	0.04	2398万	0.00	6.04	 输配电气	6.16	6.04	6.04	6.07	1.98	1.06	-35.74	-3440	6.11	1.48万	2.44万	0.61	501	11	1.60	147亿	906亿	98.5亿		606亿		-0.32		-0.97		0.45		0.78		
24	603799	华友钴业	108.26	1.30	1.39	3.91万	9	108.21	108.23	106.08	35.85	0.67	4.20亿	-0.13	106.08	 有色金属	109.16	105.01	106.08	106.87	3.88	1.27	1.41	2	107.51	1.76万	2.15万	0.82	17	9	9.50	5.93亿	642亿	5.86亿		634亿		-3.64		-6.58		4.76		10.98		
25	603288	海天味业	72.26	1.23	0.88	1.54万	3	72.25	72.42	71.20	16.77	0.06	1.11亿	-0.43	71.20	 食品饮料	72.70	71.01	71.20	71.38	2.37	1.86	-19.91	-25	72.27	6695	8713	0.77	11	1	18.31	27.0亿	1952亿	27.0亿		1949亿		4.14		3.76		0.32		0.66		
26	002475	立讯精密	23.97	1.22	0.29	3.92万	38	23.96	23.97	23.68	-10.75	0.12	9380万	-0.13	23.68	 电子元件	24.10	23.60	23.68	23.68	2.11	1.41	-16.27	-194	23.93	1.88万	2.04万	0.92	14	30	5.68	31.7亿	761亿	31.6亿		758亿		3.86		-0.08		0.94		1.85		
27	002241	歌尔股份	11.84	1.20	0.14	8.75万	23	11.83	11.84	11.75	-34.81	0.32	1.04亿	0.00	11.75	 电子元件	11.95	11.72	11.75	11.70	1.97	0.96	53.58	3900	11.85	3.84万	4.91万	0.78	281	25	2.61	32.5亿	384亿	27.2亿		322亿		-2.55		-5.13		2.59		6.89		
